Pclass,Sex,SibSp,Parch,Fare
3,0,0,0,7.8292
3,1,1,0,7.0
2,0,0,0,9.6875
3,0,0,0,8.6625
3,1,1,1,12.2875
3,0,0,0,9.225
3,1,0,0,7.6292
2,0,1,1,29.0
3,1,0,0,7.2292
3,0,2,0,24.15
3,0,0,0,7.8958
1,0,0,0,26.0
1,1,1,0,82.2667
2,0,1,0,26.0
1,1,1,0,61.175
2,1,1,0,27.7208
2,0,0,0,12.35
3,0,0,0,7.225
3,1,1,0,7.925
3,1,0,0,7.225
1,0,1,0,59.4
3,0,0,1,3.1708
1,1,0,0,31.6833
1,0,0,1,61.3792
1,1,1,3,262.375
3,0,1,0,14.5
1,1,0,1,61.9792
3,0,0,0,7.225
1,0,0,0,30.5
3,0,2,0,21.6792
2,0,1,0,26.0
2,0,2,0,31.5
3,1,1,2,20.575
3,1,1,2,23.45
1,0,1,0,57.75
3,0,0,0,7.2292
3,1,0,0,8.05
3,1,0,0,8.6625
3,0,0,0,9.5
3,0,0,0,56.4958
3,0,0,1,13.4167
1,0,0,0,26.55
3,0,0,0,7.85
2,1,0,0,13.0
1,1,1,0,52.5542
3,0,0,0,7.925
1,0,0,0,29.7
3,0,0,0,7.75
1,1,0,0,76.2917
3,1,0,2,15.9
1,0,1,0,60.0
2,0,0,0,15.0333
2,1,2,1,23.0
1,1,3,2,263.0
2,0,0,0,15.5792
3,0,4,1,29.125
3,0,0,0,7.8958
3,0,0,0,7.65
3,0,1,0,16.1
1,1,0,0,262.375
3,0,0,0,7.8958
2,0,0,0,13.5
3,0,0,0,7.75
3,1,0,0,7.725
1,0,2,2,262.375
2,1,0,0,21.0
3,1,0,0,7.8792
1,0,0,0,42.4
1,0,0,0,28.5375
1,1,1,4,263.0
3,1,0,0,7.75
3,0,0,0,7.8958
3,1,0,0,7.925
1,0,0,0,27.7208
1,1,0,0,211.5
1,0,0,0,211.5
3,0,0,0,8.05
1,1,2,0,25.7
2,0,0,0,13.0
3,1,0,0,7.75
3,0,1,1,15.2458
1,0,1,0,221.7792
1,0,0,0,26.0
3,0,0,0,7.8958
2,0,0,0,10.7083
3,0,1,0,14.4542
3,1,0,0,7.8792
3,1,0,0,8.05
3,1,0,0,7.75
2,0,1,1,23.0
3,1,1,0,13.9
3,0,0,0,7.775
1,1,1,2,52.0
3,0,0,0,8.05
1,0,0,0,26.0
3,0,0,0,7.7958
1,1,1,0,78.85
3,0,0,0,7.925
3,1,0,0,7.8542
3,0,0,0,8.05
1,1,1,0,55.4417
2,0,1,0,26.0
3,0,0,0,7.75
3,0,0,0,7.775
3,1,1,1,8.5167
3,0,0,0,22.525
3,0,0,0,7.8208
3,0,0,0,7.75
3,0,0,0,8.7125
2,0,0,0,13.0
2,0,0,0,15.0458
3,1,0,0,7.7792
1,1,0,0,31.6792
3,1,0,0,7.2833
1,1,1,0,221.7792
3,0,1,0,14.4542
3,0,0,0,6.4375
3,1,1,1,16.7
1,0,0,0,75.2417
2,1,1,0,26.0
2,1,0,0,15.75
3,0,1,0,7.75
1,1,1,0,57.75
3,0,0,0,7.25
3,0,0,0,7.75
3,1,0,1,16.1
3,0,0,0,7.7958
3,1,2,0,23.25
2,0,0,0,13.0
3,0,0,0,8.05
3,0,0,0,8.05
1,0,0,0,28.5
3,1,0,4,25.4667
3,0,1,0,6.4375
3,0,0,0,7.8958
3,0,0,0,7.8542
3,0,0,0,7.225
2,0,0,0,13.0
3,1,0,0,8.05
3,0,1,6,46.9
3,1,5,2,46.9
1,1,0,0,151.55
1,0,1,3,262.375
2,0,0,0,26.0
1,0,0,0,26.55
3,0,3,0,18.0
1,0,0,0,51.8625
3,0,0,0,8.05
1,0,0,0,26.55
2,0,1,1,26.0
1,1,0,1,83.1583
3,0,0,0,7.8958
3,0,0,0,35.627188489208635
3,1,0,2,12.1833
3,0,4,2,31.3875
3,0,0,0,7.55
1,1,0,0,221.7792
3,1,0,0,7.8542
1,0,0,0,26.55
3,1,0,2,13.775
3,1,0,0,7.7333
3,0,1,1,15.2458
2,1,0,0,13.5
3,0,0,0,7.0
2,0,0,0,13.0
3,1,1,1,22.025
1,0,0,0,50.4958
3,0,2,2,34.375
1,1,0,0,27.7208
3,1,0,0,8.9625
3,0,0,0,7.55
3,0,0,0,7.225
3,0,1,0,13.9
3,0,0,0,7.2292
3,0,1,5,31.3875
2,1,0,2,39.0
2,1,0,0,36.75
1,0,1,0,55.4417
2,1,0,3,39.0
1,1,0,2,83.1583
2,0,0,0,13.0
1,0,1,1,83.1583
1,1,1,0,53.1
3,0,0,0,7.75
1,1,1,1,247.5208
2,0,0,0,16.0
2,1,0,1,21.0
3,0,2,0,8.05
3,1,8,2,69.55
2,0,0,0,13.0
2,0,1,0,26.0
1,0,0,0,26.0
3,0,1,1,14.5
2,0,0,0,12.35
2,0,0,2,32.5
3,0,0,0,7.8542
1,0,0,2,134.5
3,1,0,0,7.775
2,0,0,0,10.5
3,1,0,0,8.1125
3,1,0,0,15.5
3,0,0,2,14.4
1,0,1,0,227.525
2,1,1,1,26.0
2,0,0,0,10.5
1,0,0,0,25.7417
3,1,0,0,7.75
2,0,0,0,10.5
1,1,0,0,27.7208
3,0,0,0,7.8958
3,0,0,0,22.525
3,0,0,0,7.05
2,0,0,0,73.5
2,1,1,0,26.0
3,1,4,2,7.775
1,0,0,0,42.5
3,1,0,0,7.8792
1,0,1,1,164.8667
1,1,1,1,211.5
3,0,0,0,8.05
2,1,1,0,13.8583
3,0,0,0,8.05
2,1,0,0,10.5
3,0,0,0,7.7958
1,1,0,0,27.4458
3,1,0,2,15.2458
3,0,0,0,7.7958
3,1,0,0,7.75
3,0,0,0,15.1
2,0,0,0,13.0
2,0,0,0,65.0
1,1,0,0,26.55
3,0,1,0,6.4958
3,0,0,0,7.8792
1,0,1,0,71.2833
3,0,0,0,7.8542
1,0,1,0,75.25
3,0,0,0,7.225
2,1,1,1,13.0
1,1,1,0,106.425
1,1,0,0,27.7208
2,1,0,2,30.0
1,0,1,1,134.5
3,0,0,0,7.8875
3,0,1,2,23.45
1,0,1,0,51.8625
2,1,0,0,21.0
2,0,1,1,32.5
2,1,1,0,26.0
3,1,1,0,14.4542
2,1,1,2,27.75
3,0,0,0,7.925
1,0,1,0,136.7792
3,0,0,0,9.325
3,0,0,0,9.5
3,0,0,0,7.55
3,0,0,0,7.75
3,0,0,0,8.05
2,1,0,0,13.0
3,0,0,0,7.775
3,0,1,0,17.4
3,0,0,0,7.8542
2,1,0,2,23.0
3,1,1,1,12.1833
2,0,0,0,12.7375
3,0,0,0,7.8958
1,0,0,0,0.0
3,0,0,0,7.55
3,1,0,0,8.05
3,0,0,0,8.6625
1,0,0,0,75.2417
3,0,0,0,7.75
1,1,1,0,136.7792
3,1,1,0,15.5
3,0,0,0,7.225
2,1,1,0,26.0
2,0,0,0,10.5
2,0,1,0,26.0
2,0,1,0,21.0
2,0,0,0,10.5
3,1,0,0,8.6625
3,0,1,1,13.775
3,1,0,0,7.75
3,1,1,1,15.2458
3,1,1,1,20.2125
3,0,0,0,7.25
3,0,0,0,7.25
1,0,1,0,82.2667
3,0,0,0,7.2292
3,0,0,0,8.05
1,0,0,0,39.6
3,1,0,0,6.95
3,0,0,0,7.2292
1,0,1,1,81.8583
3,0,0,0,9.5
3,0,0,0,7.8958
2,1,1,2,41.5792
3,0,2,0,21.6792
1,0,0,0,45.5
3,0,0,0,7.8542
3,0,0,0,7.775
2,0,0,0,15.0458
2,0,0,1,21.0
3,0,0,0,8.6625
3,1,0,0,7.75
1,1,1,1,26.55
1,0,1,2,151.55
3,0,0,1,9.35
1,0,1,1,93.5
3,1,1,0,14.1083
3,0,0,0,8.6625
3,0,0,0,7.225
3,0,0,0,7.575
3,1,0,0,7.75
1,1,0,0,135.6333
3,1,0,0,7.7333
1,0,1,0,146.5208
2,0,0,0,10.5
3,0,0,0,7.8542
2,0,2,0,31.5
3,0,0,0,7.775
3,0,0,0,7.2292
2,0,0,0,13.0
1,0,0,0,26.55
1,1,0,0,211.3375
3,0,0,0,7.05
2,1,2,1,39.0
1,0,0,0,79.2
2,0,1,0,26.0
2,0,0,0,13.0
2,1,0,2,36.75
1,0,0,0,29.7
3,0,0,0,7.225
3,1,1,1,15.7417
3,0,0,0,7.8958
1,0,0,0,26.0
2,0,0,0,13.0
3,0,0,2,7.2292
2,0,0,0,31.5
3,0,0,0,7.2292
2,0,0,0,10.5
3,0,0,0,7.5792
3,0,1,9,69.55
1,1,0,1,512.3292
3,0,1,1,14.5
3,1,0,0,7.65
2,0,0,0,13.0
3,1,0,0,7.2292
2,0,0,0,13.5
2,1,0,0,21.0
1,1,0,1,63.3583
2,0,0,0,10.5
2,0,0,0,73.5
2,0,1,2,65.0
3,1,1,2,20.575
1,0,0,0,26.0
1,1,2,0,51.4792
3,0,0,0,7.8792
3,0,0,0,7.75
3,1,1,0,15.55
3,0,8,2,69.55
2,1,1,1,37.0042
2,1,0,0,21.0
3,0,0,0,8.6625
1,1,1,0,55.4417
3,1,1,9,69.55
3,0,1,0,14.4583
3,1,0,0,39.6875
1,1,0,1,59.4
2,0,0,0,13.8583
2,0,1,0,11.5
1,1,0,0,134.5
1,0,0,0,0.0
2,0,0,0,13.0
1,1,1,1,81.8583
1,1,0,0,262.375
3,1,2,0,8.6625
2,0,0,0,11.5
1,0,0,0,50.0
3,0,4,2,31.3875
3,0,0,0,7.75
3,0,0,0,7.8792
3,1,0,0,14.5
3,1,1,0,16.1
2,0,0,0,12.875
2,1,1,2,65.0
3,0,0,0,7.775
2,0,0,0,13.0
3,0,0,0,7.75
3,0,3,1,21.075
1,0,0,0,93.5
1,1,0,1,39.4
3,0,0,2,20.25
2,0,0,0,10.5
3,0,3,1,22.025
1,1,1,0,60.0
3,0,0,0,7.25
1,1,1,1,79.2
3,0,0,0,7.775
3,0,0,0,7.7333
1,1,0,0,164.8667
2,0,1,0,21.0
1,1,0,1,59.4
1,0,0,0,47.1
1,0,1,0,27.7208
2,0,0,0,13.8625
2,0,1,0,10.5
1,0,1,1,211.5
3,1,0,0,7.7208
3,1,1,1,13.775
3,1,0,0,7.75
1,1,1,0,90.0
3,1,0,0,7.775
3,0,0,0,8.05
1,1,0,0,108.9
3,0,0,0,7.25
3,0,0,0,8.05
3,0,1,1,22.3583
